from,to,type
1,12,promotion
2,13,promotion
3,14,promotion
4,15,promotion
5,16,promotion
6,17,promotion
6,40,inhibition
7,22,inhibition
8,30,promotion
9,42,promotion
10,38,promotion
11,44,promotion
12,22,promotion
13,22,promotion
14,18,promotion
15,18,promotion
15,19,promotion
16,20,promotion
17,20,promotion
17,21,promotion
17,40,promotion
18,23,promotion
18,24,promotion
18,22,promotion
19,25,promotion
20,26,promotion
21,30,inhibition
22,27,promotion
22,28,promotion
23,29,promotion
24,29,promotion
25,29,promotion
26,32,promotion
26,30,inhibition
27,42,promotion
28,42,promotion
28,31,promotion
28,43,promotion
29,32,promotion
30,48,promotion
30,39,inhibition
30,36,inhibition
30,37,inhibition
31,38,promotion
32,33,promotion
33,34,promotion
34,36,promotion
34,35,promotion
34,37,promotion
35,48,inhibition
35,43,inhibition
35,46,inhibition
35,41,inhibition
35,42,inhibition
36,39,promotion
36,40,inhibition
36,48,inhibition
37,40,inhibition
37,48,inhibition
37,44,inhibition
37,38,inhibition
38,41,promotion
39,40,inhibition
40,48,promotion
41,42,promotion
41,43,promotion
42,46,promotion
42,45,promotion
42,47,promotion
42,28,promotion
43,48,promotion
44,48,promotion
45,47,promotion
46,48,promotion
47,48,promotion
43,45,promotion
39,38,inhibition
