from,to,type
6,40,-1
7,22,-1
21,30,-1
26,30,-1
30,39,-1
30,36,-1
30,37,-1
35,48,-1
35,43,-1
35,46,-1
35,41,-1
35,42,-1
36,40,-1
36,48,-1
37,40,-1
37,48,-1
37,44,-1
37,38,-1
39,40,-1
39,38,-1
1,12,1
2,13,1
3,14,1
4,15,1
5,16,1
6,17,1
8,30,1
9,42,1
10,38,1
11,44,1
12,22,1
13,22,1
14,18,1
15,18,1
15,19,1
16,20,1
17,20,1
17,21,1
17,40,1
18,23,1
18,24,1
18,22,1
19,25,1
20,26,1
22,27,1
22,28,1
23,29,1
24,29,1
25,29,1
26,32,1
27,42,1
28,42,1
28,31,1
28,43,1
29,32,1
30,48,1
31,38,1
32,33,1
33,34,1
34,36,1
34,35,1
34,37,1
36,39,1
38,41,1
40,48,1
41,42,1
41,43,1
42,46,1
42,45,1
42,47,1
42,48,1
42,28,1
43,48,1
44,48,1
45,47,1
46,48,1
47,48,1
43,45,1
